,Date,User,Tweet
0,2022-12-14 23:22:01+00:00,KMbappe,"Don’t be sad bro, everybody is proud of what you did, you made history. ❤️ @AchrafHakimi https://t.co/hvjQvQ84c6"
1,2022-12-14 21:46:34+00:00,KMbappe,BACK TO BACK WORLD CUP FINAL. 🇫🇷
2,2022-12-10 23:18:19+00:00,KMbappe,@AchrafHakimi ❤️❤️❤️
3,2022-12-10 23:02:53+00:00,KMbappe,Encore un peu plus proche du rêve absolu..🇫🇷👊🏽 @equipedefrance https://t.co/F4Cts5FXXK
4,2022-12-10 22:12:30+00:00,KMbappe,🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷
5,2022-12-06 17:55:29+00:00,KMbappe,🇲🇦👑🫶🏽… @AchrafHakimi https://t.co/fDCyfMI7LM
6,2022-12-06 17:52:50+00:00,KMbappe,ACHRAF HAKIMI. 🐧🫶🏽👑
7,2022-12-04 18:23:42+00:00,KMbappe,Belle victoire et qualification pour le quart de finale 🇫🇷💪🏽… https://t.co/ps3B4PrTQB
8,2022-12-03 13:21:28+00:00,KMbappe,Pray for the King 👑🙏🏽🇧🇷 @Pele
9,2022-11-26 19:03:34+00:00,KMbappe,"QUALIFICATION !!! 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷
@equipedefrance https://t.co/uI3NX5cono"
10,2022-11-22 22:08:48+00:00,KMbappe,Une belle entrée dans la compétition. 🇫🇷👍🏽 https://t.co/Bftn5KAO72
11,2022-11-09 19:33:36+00:00,KMbappe,Toujours un rêve de disputer la plus grande des compétitions avec mon pays. 🇫🇷🏆 @equipedefrance https://t.co/X7hXr5d42P
12,2022-10-12 11:27:34+00:00,KMbappe,Rendez-vous aux enfants dans ce lieu d’histoire cet après-midi pour un moment de partage. ✊🏽 https://t.co/loHdSjnbcl
13,2022-08-24 17:59:50+00:00,KMbappe,"Félicitations Camille. 
Continues de tous nous inspirer. 
Le Parc des Princes est aussi ta maison maintenant 👊🏽🙏🏽❤️ 

@1SourireCamille https://t.co/6nKpnrcobf"
14,2022-07-19 12:33:36+00:00,KMbappe,"3 IN A ROW 👑 
Proud to feature on the cover again #FIFA23 
 
@EASPORTSFIFA https://t.co/t71RGY7sBZ"
15,2022-06-19 13:08:01+00:00,KMbappe,"Oui enfin je lui ai surtout bien expliqué que c’était par rapport au racisme et NON au penalty. 
Mais lui considérait qu’il n’y avait pas  eu de racisme… https://t.co/wZ1nQfb4l4"
16,2022-06-18 14:18:40+00:00,KMbappe,🥷😎… https://t.co/w4oPwswUeJ
17,2022-06-15 16:32:01+00:00,KMbappe,FINALLY 🤤🤤🤤🤤🤤🤤🤤🤤 https://t.co/SS2XSu5vBX
18,2022-06-02 19:58:34+00:00,KMbappe,@sportbible FAKE ❌
19,2022-05-28 15:27:20+00:00,KMbappe,🇫🇷🔙… @equipedefrance https://t.co/LDPuMOZE8U
20,2022-05-22 20:54:09+00:00,KMbappe,"• CHAMP10NS 
• Meilleur buteur &amp; Meilleur passeur 

MERCI ❤️ 
@Ligue1UberEats @PSG_inside https://t.co/83V7VNPz75"
21,2022-05-22 16:07:10+00:00,KMbappe,https://t.co/m00Sii3A6l
22,2022-05-21 23:40:08+00:00,KMbappe,L’aventure continue…🔴🔵 https://t.co/w0STNy0oLQ
